TEAM,SEASON,ATTENDANCE,STADIUM CAPACITY,TIER,LEAGUE POSITION,REGION,SQUAD VALUE (in millions of Pounds),TICKET PRICES (in Pounds),POPULATION,MATCHES TELEVISED,NO. OF GOALS SCORED,CUP WINS,RENOVATION,UK GDP PC (in Pounds)
Tottenham,1970/1971,35641,45000,1,3,London,NA,0.4,7438000.00,7,54,1,0,15886
Tottenham,1971/1972,38833,45000,1,6,London,NA,0.5,7358000.00,7,65,1,0,16529
Tottenham,1972/1973,32300,45000,1,11,London,NA,0.65,7279000.00,8,57,1,0,17564
Tottenham,1973/1974,26137,45000,1,8,London,NA,0.8,7201000.00,8,45,0,0,17122
Tottenham,1974/1975,26458,45000,1,19,London,NA,1,7124000.00,8,52,0,0,16867
Tottenham,1975/1976,27838,45000,1,9,London,NA,1.2,7048000.00,9,47,0,0,17379
Tottenham,1976/1977,30173,45000,1,11,London,NA,1.5,6973000.00,9,89,0,0,17815
Tottenham,1977/1978,34209,45000,1,19,London,NA,1.8,6898000.00,9,48,0,0,18565
Tottenham,1978/1979,34864,45000,1,9,London,NA,2.2,6824000.00,10,70,0,0,19236
Tottenham,1979/1980,32014,45000,1,22,London,NA,2.6,6751000.00,10,70,0,0,18812
Tottenham,1980/1981,30663,45000,1,3,London,NA,3,6699000.00,11,54,1,0,18673
Tottenham,1981/1982,35105,45000,1,11,London,NA,3.5,6709000.00,11,59,1,0,19063
Tottenham,1982/1983,30692,45000,1,14,London,NA,4,6720000.00,12,64,0,0,19848
Tottenham,1983/1984,28753,45000,1,10,London,NA,4.5,6730000.00,12,66,1,0,20255
Tottenham,1984/1985,28934,45000,1,4,London,NA,5,6741000.00,13,83,0,0,21029
Tottenham,1985/1986,20862,45000,1,4,London,NA,5.5,6752000.00,13,53,0,0,21633
Tottenham,1986/1987,25910,45000,1,8,London,NA,6,6762000.00,14,66,0,0,22757
Tottenham,1987/1988,25921,45000,1,3,London,NA,7,6773000.00,14,54,0,0,23934
Tottenham,1988/1989,24467,45000,1,10,London,NA,8,6784000.00,15,66,0,0,24439
Tottenham,1989/1990,26465,45000,1,3,London,NA,9,6794000.00,16,64,0,0,24507
Tottenham,1990/1991,30633,36284,1,13,London,NA,10,6841000.00,17,65,1,1,24078
Tottenham,1991/1992,27761,36284,1,6,London,NA,11,6888000.00,18,57,1,0,24076
Tottenham,1992/1993,27878,36284,2,3,London,NA,12,6935000.00,19,52,0,0,24565
Tottenham,1993/1994,27255,36284,1,10,London,NA,14,6982000.00,20,48,0,0,25338
Tottenham,1994/1995,27068,36284,1,15,London,NA,16,7030000.00,21,64,0,0,25870
Tottenham,1995/1996,30548,36284,1,8,London,NA,18,7078000.00,22,54,0,0,26474
Tottenham,1996/1997,31067,36284,1,15,London,NA,20,7126000.00,23,56,0,0,27707
Tottenham,1997/1998,29144,36284,1,7,London,NA,22,7174000.00,24,44,0,0,28570
Tottenham,1998/1999,34174,36284,1,8,London,NA,24,7223000.00,25,47,1,0,29339
Tottenham,1999/2000,34912,36284,1,10,London,NA,26,7273000.00,26,57,0,0,30508
Tottenham,2000/2001,35195,36284,1,14,London,NA,28,7322000.00,27,47,0,0,31173
Tottenham,2001/2002,35001,36284,1,11,London,NA,30,7367000.00,28,51,0,0,31597
Tottenham,2002/2003,35897,36284,1,10,London,NA,32,7411000.00,29,41,0,0,32445
Tottenham,2003/2004,34939,36284,1,12,London,65.05,34,7456000.00,30,48,0,0,33069
Tottenham,2004/2005,35788,36284,1,9,London,78.96,36,7501000.00,31,47,0,0,33713
Tottenham,2005/2006,36074,36284,1,10,London,85.25,38,7547000.00,32,53,0,0,34280
Tottenham,2006/2007,35701,36284,1,14,London,102.6,40,7668000.00,33,60,0,0,34898
Tottenham,2007/2008,35967,36284,1,9,London,139.04,42,7792000.00,34,66,1,0,34527
Tottenham,2008/2009,35929,36284,1,5,London,178,44,7917000.00,35,45,0,0,32700
Tottenham,2009/2010,35794,36284,1,5,London,192.83,46,8044000.00,36,67,0,0,33165
Tottenham,2010/2011,35722,36284,1,3,London,216.75,48,8174000.00,37,55,0,0,33264
Tottenham,2011/2012,36036,36284,1,5,London,222.75,50,8293000.00,38,66,0,0,33540
Tottenham,2012/2013,36066,36284,1,4,London,255,52,8414000.00,39,66,0,0,33916
Tottenham,2013/2014,35808,36284,1,5,London,258,54,8537000.00,40,55,0,0,34739
Tottenham,2014/2015,35728,36284,1,4,London,253.75,56,8661000.00,41,58,0,0,35256
Tottenham,2015/2016,35776,36284,1,6,London,326.8,58,8788000.00,42,69,0,0,35649
Tottenham,2016/2017,31639,90000,1,5,London,438,60,8916000.00,43,86,0,0,36397
Tottenham,2017/2018,67496,90000,1,3,London,575.25,62,9046000.00,44,74,0,1,36728
Tottenham,2018/2019,54216,62062,1,4,London,657.75,64,9177000.00,45,67,0,1,37134
